Event Type,Date,Time,Registration Number,Direction,Owner
GRANTED,2024-09-24,13:51:57,BP1180CP,OUT,
GRANTED,2024-09-24,13:52:02,BP1180CP,IN,
GRANTED,2024-09-24,13:52:03,BP1180CP,OUT,
GRANTED,2024-09-24,13:56:35,BP1180CP,IN,
GRANTED,2024-09-24,13:58:27,BP1180CP,IN,
GRANTED,2024-09-24,14:06:38,BP1180CP,IN,
GRANTED,2024-09-24,14:06:50,BP1180CP,OUT,
GRANTED,2024-09-24,14:06:52,X0640KC,IN,
GRANTED,2024-09-24,14:07:18,BP1180CP,IN,
GRANTED,2024-09-24,14:07:24,BP1180CP,OUT,
GRANTED,2024-09-24,14:47:14,BP1180CP,IN,
GRANTED,2024-09-24,14:47:21,X0640KC,IN,
GRANTED,2024-09-24,14:57:15,X0640KC,IN,
GRANTED,2024-09-24,14:57:15,X0640KC,OUT,
GRANTED,2024-09-24,14:57:15,X0640KC,IN,
GRANTED,2024-09-24,14:57:16,X0640KC,OUT,
GRANTED,2024-09-24,14:57:17,X0640KC,IN,
GRANTED,2024-09-24,14:57:17,X0640KC,OUT,
GRANTED,2024-09-24,14:57:17,X0640KC,IN,
GRANTED,2024-09-24,14:57:18,X0640KC,OUT,
GRANTED,2024-09-24,14:57:22,BP1180CP,IN,
GRANTED,2024-09-24,14:57:31,BP1180CP,OUT,
GRANTED,2024-09-24,14:57:32,BP1180CP,IN,
GRANTED,2024-09-24,14:57:41,BP1180CP,OUT,
GRANTED,2024-09-24,14:57:43,X0640KC,IN,
GRANTED,2024-09-24,14:57:44,X0640KC,OUT,
GRANTED,2024-09-24,14:57:45,X0640KC,IN,
GRANTED,2024-09-24,14:57:46,X0640KC,OUT,
GRANTED,2024-09-24,14:57:47,X0640KC,IN,
GRANTED,2024-09-24,14:57:56,BP1180CP,IN,
GRANTED,2024-09-24,14:57:57,BP1180CP,OUT,
GRANTED,2024-09-24,14:57:57,BP1180CP,IN,
GRANTED,2024-09-24,14:57:57,BP1180CP,OUT,
GRANTED,2024-09-24,14:57:58,BP1180CP,IN,
GRANTED,2024-09-24,14:57:59,BP1180CP,OUT,
GRANTED,2024-09-24,14:57:59,BP1180CP,IN,
GRANTED,2024-09-24,14:58:00,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:00,BP1180CP,IN,
GRANTED,2024-09-24,14:58:01,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:01,BP1180CP,IN,
GRANTED,2024-09-24,14:58:03,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:03,BP1180CP,IN,
GRANTED,2024-09-24,14:58:04,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:05,BP1180CP,IN,
GRANTED,2024-09-24,14:58:06,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:07,BP1180CP,IN,
GRANTED,2024-09-24,14:58:07,BP1180CP,OUT,
GRANTED,2024-09-24,14:58:07,BP1180CP,IN,
GRANTED,2024-09-24,14:58:08,BP1180CP,OUT,
GRANTED,2024-09-24,14:59:33,BP1180CP,IN,
GRANTED,2024-09-24,14:59:34,BP1180CP,OUT,
GRANTED,2024-09-24,14:59:34,BP1180CP,IN,
GRANTED,2024-09-24,14:59:34,BP1180CP,OUT,
GRANTED,2024-09-24,14:59:35,BP1180CP,IN,
GRANTED,2024-09-24,14:59:36,BP1180CP,OUT,
GRANTED,2024-09-24,14:59:46,X0640KC,IN,
GRANTED,2024-09-24,14:59:48,X0640KC,OUT,
GRANTED,2024-09-24,14:59:51,X0640KC,IN,
GRANTED,2024-09-24,14:59:51,X0640KC,OUT,
GRANTED,2024-09-24,14:59:53,X0640KC,IN,
GRANTED,2024-09-24,14:59:54,X0640KC,OUT,
GRANTED,2024-09-24,14:59:58,BP1180CP,IN,
GRANTED,2024-09-24,14:59:59,BP1180CP,OUT,
GRANTED,2024-09-24,15:00:00,BP1180CP,IN,
GRANTED,2024-09-24,15:00:00,BP1180CP,OUT,
GRANTED,2024-09-24,15:00:01,BP1180CP,IN,
GRANTED,2024-09-24,15:04:23,X0640KC,IN,
GRANTED,2024-09-24,15:04:25,X0640KC,OUT,
GRANTED,2024-09-24,15:04:25,X0640KC,IN,
GRANTED,2024-09-24,15:04:26,X0640KC,OUT,
GRANTED,2024-09-24,15:04:29,X0640KC,IN,
GRANTED,2024-09-24,15:04:29,X0640KC,OUT,
GRANTED,2024-09-24,15:04:31,X0640KC,IN,
GRANTED,2024-09-24,15:04:31,X0640KC,OUT,
GRANTED,2024-09-24,15:04:32,X0640KC,IN,
GRANTED,2024-09-24,15:04:32,X0640KC,OUT,
GRANTED,2024-09-24,15:04:34,X0640KC,IN,
GRANTED,2024-09-24,15:04:36,X0640KC,OUT,
GRANTED,2024-09-24,15:04:39,X0640KC,IN,
GRANTED,2024-09-24,15:04:41,BP1180CP,IN,
GRANTED,2024-09-24,15:04:41,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:42,BP1180CP,IN,
GRANTED,2024-09-24,15:04:43,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:44,BP1180CP,IN,
GRANTED,2024-09-24,15:04:46,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:46,BP1180CP,IN,
GRANTED,2024-09-24,15:04:49,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:50,BP1180CP,IN,
GRANTED,2024-09-24,15:04:51,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:52,BP1180CP,IN,
GRANTED,2024-09-24,15:04:53,BP1180CP,OUT,
GRANTED,2024-09-24,15:04:57,BP1180CP,IN,
GRANTED,2024-09-24,15:04:58,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:22,BP1180CP,IN,
GRANTED,2024-09-24,15:05:27,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:29,BP1180CP,IN,
GRANTED,2024-09-24,15:05:30,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:31,BP1180CP,IN,
GRANTED,2024-09-24,15:05:33,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:46,BP1180CP,IN,
GRANTED,2024-09-24,15:05:50,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:51,BP1180CP,IN,
GRANTED,2024-09-24,15:05:52,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:52,BP1180CP,IN,
GRANTED,2024-09-24,15:05:53,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:55,BP1180CP,IN,
GRANTED,2024-09-24,15:05:55,BP1180CP,OUT,
GRANTED,2024-09-24,15:05:56,BP1180CP,IN,
GRANTED,2024-09-24,15:05:57,BP1180CP,OUT,
GRANTED,2024-09-24,15:06:45,A4252HX,IN,
GRANTED,2024-09-24,15:07:38,X0640KC,OUT,
GRANTED,2024-09-24,15:07:39,X0640KC,IN,
GRANTED,2024-09-24,15:07:44,X0640KC,OUT,
GRANTED,2024-09-24,15:07:45,X0640KC,IN,
GRANTED,2024-09-24,15:07:45,X0640KC,OUT,
GRANTED,2024-09-24,15:07:47,X0640KC,IN,
GRANTED,2024-09-24,15:07:48,X0640KC,OUT,
GRANTED,2024-09-24,15:07:49,X0640KC,IN,
GRANTED,2024-09-24,15:07:51,X0640KC,OUT,
GRANTED,2024-09-24,15:07:58,X0640KC,IN,
GRANTED,2024-09-24,15:07:58,X0640KC,OUT,
GRANTED,2024-09-24,15:07:59,X0640KC,IN,
GRANTED,2024-09-24,15:07:59,X0640KC,OUT,
GRANTED,2024-09-24,15:08:00,X0640KC,IN,
GRANTED,2024-09-24,15:08:01,X0640KC,OUT,
GRANTED,2024-09-24,15:08:01,X0640KC,IN,
GRANTED,2024-09-24,15:08:02,X0640KC,OUT,
GRANTED,2024-09-24,15:08:02,X0640KC,IN,
GRANTED,2024-09-24,15:08:03,X0640KC,OUT,
GRANTED,2024-09-24,15:08:04,X0640KC,IN,
GRANTED,2024-09-24,15:08:04,X0640KC,OUT,
GRANTED,2024-09-24,15:08:04,X0640KC,IN,
GRANTED,2024-09-24,15:08:06,X0640KC,OUT,
GRANTED,2024-09-24,15:08:06,X0640KC,IN,
GRANTED,2024-09-24,15:08:07,X0640KC,OUT,
GRANTED,2024-09-24,15:08:07,X0640KC,IN,
GRANTED,2024-09-24,15:08:08,X0640KC,OUT,
GRANTED,2024-09-24,15:08:09,X0640KC,IN,
GRANTED,2024-09-24,15:08:09,X0640KC,OUT,
GRANTED,2024-09-24,15:08:10,X0640KC,IN,
GRANTED,2024-09-24,15:08:11,X0640KC,OUT,
GRANTED,2024-09-24,15:08:11,X0640KC,IN,
GRANTED,2024-09-24,15:08:13,X0640KC,OUT,
GRANTED,2024-09-24,15:08:13,X0640KC,IN,
GRANTED,2024-09-24,15:08:14,X0640KC,OUT,
GRANTED,2024-09-24,15:08:15,X0640KC,IN,
GRANTED,2024-09-24,15:08:15,X0640KC,OUT,
GRANTED,2024-09-24,15:08:16,X0640KC,IN,
GRANTED,2024-09-24,15:08:16,X0640KC,OUT,
GRANTED,2024-09-24,15:08:17,X0640KC,IN,
GRANTED,2024-09-24,15:08:18,X0640KC,OUT,
GRANTED,2024-09-24,15:08:19,X0640KC,IN,
GRANTED,2024-09-24,15:08:19,X0640KC,OUT,
GRANTED,2024-09-24,15:08:19,X0640KC,IN,
GRANTED,2024-09-24,15:08:20,X0640KC,OUT,
GRANTED,2024-09-24,15:08:21,X0640KC,IN,
GRANTED,2024-09-24,15:08:22,X0640KC,OUT,
GRANTED,2024-09-24,15:08:22,X0640KC,IN,
GRANTED,2024-09-24,15:08:24,X0640KC,OUT,
GRANTED,2024-09-24,15:08:24,X0640KC,IN,
GRANTED,2024-09-24,15:08:26,X0640KC,OUT,
GRANTED,2024-09-24,15:08:27,X0640KC,IN,
GRANTED,2024-09-24,15:08:27,X0640KC,OUT,
GRANTED,2024-09-24,15:08:28,X0640KC,IN,
GRANTED,2024-09-24,15:08:29,X0640KC,OUT,
GRANTED,2024-09-24,15:08:29,X0640KC,IN,
GRANTED,2024-09-24,15:08:29,X0640KC,OUT,
GRANTED,2024-09-24,15:08:30,X0640KC,IN,
GRANTED,2024-09-24,15:08:32,X0640KC,OUT,
GRANTED,2024-09-24,15:08:34,X0640KC,IN,
GRANTED,2024-09-24,15:08:34,X0640KC,OUT,
GRANTED,2024-09-24,15:08:35,X0640KC,IN,
GRANTED,2024-09-24,15:08:36,X0640KC,OUT,
GRANTED,2024-09-24,15:08:37,X0640KC,IN,
GRANTED,2024-09-24,15:08:37,X0640KC,OUT,
GRANTED,2024-09-24,15:08:38,X0640KC,IN,
GRANTED,2024-09-24,15:08:39,X0640KC,OUT,
GRANTED,2024-09-24,15:08:39,X0640KC,IN,
GRANTED,2024-09-24,15:08:40,X0640KC,OUT,
GRANTED,2024-09-24,15:08:41,X0640KC,IN,
GRANTED,2024-09-24,15:08:42,X0640KC,OUT,
GRANTED,2024-09-24,15:08:43,X0640KC,IN,
GRANTED,2024-09-24,15:08:43,X0640KC,OUT,
GRANTED,2024-09-24,15:08:44,X0640KC,IN,
GRANTED,2024-09-24,15:08:45,X0640KC,OUT,
GRANTED,2024-09-24,15:08:45,X0640KC,IN,
GRANTED,2024-09-24,15:08:46,X0640KC,OUT,
GRANTED,2024-09-24,15:08:47,X0640KC,IN,
GRANTED,2024-09-24,15:08:47,X0640KC,OUT,
GRANTED,2024-09-24,15:08:48,X0640KC,IN,
GRANTED,2024-09-24,15:08:49,X0640KC,OUT,
GRANTED,2024-09-24,15:08:50,X0640KC,IN,
GRANTED,2024-09-24,15:08:50,X0640KC,OUT,
GRANTED,2024-09-24,15:08:51,X0640KC,IN,
GRANTED,2024-09-24,15:08:51,X0640KC,OUT,
GRANTED,2024-09-24,15:08:52,X0640KC,IN,
GRANTED,2024-09-24,15:08:52,X0640KC,OUT,
GRANTED,2024-09-24,15:08:54,X0640KC,IN,
GRANTED,2024-09-24,15:08:54,X0640KC,OUT,
GRANTED,2024-09-24,15:08:54,X0640KC,IN,
GRANTED,2024-09-24,15:08:55,X0640KC,OUT,
GRANTED,2024-09-24,15:08:56,X0640KC,IN,
GRANTED,2024-09-24,15:08:56,X0640KC,OUT,
GRANTED,2024-09-24,15:08:57,X0640KC,IN,
GRANTED,2024-09-24,15:08:57,X0640KC,OUT,
GRANTED,2024-09-24,15:08:58,X0640KC,IN,
GRANTED,2024-09-24,15:08:59,X0640KC,OUT,
GRANTED,2024-09-24,15:09:00,X0640KC,IN,
GRANTED,2024-09-24,15:09:01,X0640KC,OUT,
GRANTED,2024-09-24,15:09:03,X0640KC,IN,
GRANTED,2024-09-24,15:09:03,X0640KC,OUT,
GRANTED,2024-09-24,15:09:04,X0640KC,IN,
GRANTED,2024-09-24,15:09:04,X0640KC,OUT,
GRANTED,2024-09-24,15:09:05,X0640KC,IN,
GRANTED,2024-09-24,15:09:06,X0640KC,OUT,
GRANTED,2024-09-24,15:09:07,X0640KC,IN,
GRANTED,2024-09-24,15:09:09,X0640KC,OUT,
GRANTED,2024-09-24,15:09:10,X0640KC,IN,
GRANTED,2024-09-24,15:09:10,X0640KC,OUT,
GRANTED,2024-09-24,15:09:11,X0640KC,IN,
GRANTED,2024-09-24,15:09:12,X0640KC,OUT,
GRANTED,2024-09-24,15:09:12,X0640KC,IN,
GRANTED,2024-09-24,15:09:13,X0640KC,OUT,
GRANTED,2024-09-24,15:09:14,X0640KC,IN,
GRANTED,2024-09-24,15:09:14,X0640KC,OUT,
GRANTED,2024-09-24,15:09:14,X0640KC,IN,
GRANTED,2024-09-24,15:09:16,X0640KC,OUT,
GRANTED,2024-09-24,15:09:16,X0640KC,IN,
GRANTED,2024-09-24,15:09:17,X0640KC,OUT,
GRANTED,2024-09-24,15:09:18,X0640KC,IN,
GRANTED,2024-09-24,15:09:18,X0640KC,OUT,
GRANTED,2024-09-24,15:09:19,X0640KC,IN,
GRANTED,2024-09-24,15:09:19,X0640KC,OUT,
GRANTED,2024-09-24,15:09:20,X0640KC,IN,
GRANTED,2024-09-24,15:09:20,X0640KC,OUT,
GRANTED,2024-09-24,15:09:21,X0640KC,IN,
GRANTED,2024-09-24,15:09:22,X0640KC,OUT,
GRANTED,2024-09-24,15:09:23,X0640KC,IN,
GRANTED,2024-09-24,15:09:23,X0640KC,OUT,
GRANTED,2024-09-24,15:09:23,X0640KC,IN,
GRANTED,2024-09-24,15:09:24,X0640KC,OUT,
GRANTED,2024-09-24,15:09:25,X0640KC,IN,
GRANTED,2024-09-24,15:09:27,X0640KC,OUT,
GRANTED,2024-09-24,15:09:27,X0640KC,IN,
GRANTED,2024-09-24,15:09:28,X0640KC,OUT,
GRANTED,2024-09-24,15:09:28,X0640KC,IN,
GRANTED,2024-09-24,15:09:29,X0640KC,OUT,
GRANTED,2024-09-24,15:09:29,X0640KC,IN,
GRANTED,2024-09-24,15:09:31,X0640KC,OUT,
GRANTED,2024-09-24,15:09:32,X0640KC,IN,
GRANTED,2024-09-24,15:09:33,X0640KC,OUT,
GRANTED,2024-09-24,15:09:33,X0640KC,IN,
GRANTED,2024-09-24,15:09:34,X0640KC,OUT,
GRANTED,2024-09-24,15:09:34,X0640KC,IN,
GRANTED,2024-09-24,15:09:35,X0640KC,OUT,
GRANTED,2024-09-24,15:09:36,X0640KC,IN,
GRANTED,2024-09-24,15:09:36,X0640KC,OUT,
GRANTED,2024-09-24,15:09:37,X0640KC,IN,
GRANTED,2024-09-24,15:09:37,X0640KC,OUT,
GRANTED,2024-09-24,15:09:38,X0640KC,IN,
GRANTED,2024-09-24,15:09:39,X0640KC,OUT,
GRANTED,2024-09-24,15:09:39,X0640KC,IN,
GRANTED,2024-09-24,15:09:40,X0640KC,OUT,
GRANTED,2024-09-24,15:09:40,X0640KC,IN,
GRANTED,2024-09-24,15:09:42,X0640KC,OUT,
GRANTED,2024-09-24,15:09:42,X0640KC,IN,
GRANTED,2024-09-24,15:09:43,X0640KC,OUT,
GRANTED,2024-09-24,15:09:44,X0640KC,IN,
GRANTED,2024-09-24,15:09:44,X0640KC,OUT,
GRANTED,2024-09-24,15:09:45,X0640KC,IN,
GRANTED,2024-09-24,15:09:45,X0640KC,OUT,
GRANTED,2024-09-24,15:09:45,X0640KC,IN,
GRANTED,2024-09-24,15:09:47,X0640KC,OUT,
GRANTED,2024-09-24,15:09:47,X0640KC,IN,
GRANTED,2024-09-24,15:09:48,X0640KC,OUT,
GRANTED,2024-09-24,15:09:48,X0640KC,IN,
GRANTED,2024-09-24,15:09:49,X0640KC,OUT,
GRANTED,2024-09-24,15:09:49,X0640KC,IN,
GRANTED,2024-09-24,15:09:50,X0640KC,OUT,
GRANTED,2024-09-24,15:09:50,X0640KC,IN,
GRANTED,2024-09-24,15:09:51,X0640KC,OUT,
GRANTED,2024-09-24,15:09:51,X0640KC,IN,
GRANTED,2024-09-24,15:09:52,X0640KC,OUT,
GRANTED,2024-09-24,15:09:53,X0640KC,IN,
GRANTED,2024-09-24,15:09:55,X0640KC,OUT,
GRANTED,2024-09-24,15:09:55,X0640KC,IN,
GRANTED,2024-09-24,15:09:57,X0640KC,OUT,
GRANTED,2024-09-24,15:09:57,X0640KC,IN,
GRANTED,2024-09-24,15:09:57,X0640KC,OUT,
GRANTED,2024-09-24,15:09:58,X0640KC,IN,
GRANTED,2024-09-24,15:09:58,X0640KC,OUT,
GRANTED,2024-09-24,15:09:59,X0640KC,IN,
GRANTED,2024-09-24,15:09:59,X0640KC,OUT,
GRANTED,2024-09-24,15:10:00,X0640KC,IN,
GRANTED,2024-09-24,15:10:01,X0640KC,OUT,
GRANTED,2024-09-24,15:10:01,X0640KC,IN,
GRANTED,2024-09-24,15:10:02,X0640KC,OUT,
GRANTED,2024-09-24,15:10:03,X0640KC,IN,
GRANTED,2024-09-24,15:10:03,X0640KC,OUT,
GRANTED,2024-09-24,15:10:04,X0640KC,IN,
GRANTED,2024-09-24,15:10:05,X0640KC,OUT,
GRANTED,2024-09-24,15:10:06,X0640KC,IN,
GRANTED,2024-09-24,15:10:06,X0640KC,OUT,
GRANTED,2024-09-24,15:10:07,X0640KC,IN,
GRANTED,2024-09-24,15:10:08,X0640KC,OUT,
GRANTED,2024-09-24,15:10:08,X0640KC,IN,
GRANTED,2024-09-24,15:10:09,X0640KC,OUT,
GRANTED,2024-09-24,15:10:10,X0640KC,IN,
GRANTED,2024-09-24,15:10:10,X0640KC,OUT,
GRANTED,2024-09-24,15:10:11,X0640KC,IN,
GRANTED,2024-09-24,15:10:12,X0640KC,OUT,
GRANTED,2024-09-24,15:10:13,X0640KC,IN,
GRANTED,2024-09-24,15:10:13,X0640KC,OUT,
GRANTED,2024-09-24,15:10:14,X0640KC,IN,
GRANTED,2024-09-24,15:10:14,X0640KC,OUT,
GRANTED,2024-09-24,15:10:15,X0640KC,IN,
GRANTED,2024-09-24,15:10:16,X0640KC,OUT,
GRANTED,2024-09-24,15:10:17,X0640KC,IN,
GRANTED,2024-09-24,15:10:18,X0640KC,OUT,
GRANTED,2024-09-24,15:10:18,X0640KC,IN,
GRANTED,2024-09-24,15:10:18,X0640KC,OUT,
GRANTED,2024-09-24,15:10:19,X0640KC,IN,
GRANTED,2024-09-24,15:10:21,X0640KC,OUT,
GRANTED,2024-09-24,15:10:21,X0640KC,IN,
GRANTED,2024-09-24,15:10:23,X0640KC,OUT,
GRANTED,2024-09-24,15:10:23,X0640KC,IN,
GRANTED,2024-09-24,15:10:23,X0640KC,OUT,
GRANTED,2024-09-24,15:10:24,X0640KC,IN,
GRANTED,2024-09-24,15:10:26,X0640KC,OUT,
GRANTED,2024-09-24,15:10:27,X0640KC,IN,
GRANTED,2024-09-24,15:10:27,X0640KC,OUT,
GRANTED,2024-09-24,15:10:28,X0640KC,IN,
GRANTED,2024-09-24,15:10:28,X0640KC,OUT,
GRANTED,2024-09-24,15:10:29,X0640KC,IN,
GRANTED,2024-09-24,15:10:29,X0640KC,OUT,
GRANTED,2024-09-24,15:10:29,X0640KC,IN,
GRANTED,2024-09-24,15:10:30,X0640KC,OUT,
GRANTED,2024-09-24,15:10:31,X0640KC,IN,
GRANTED,2024-09-24,15:10:31,X0640KC,OUT,
GRANTED,2024-09-24,15:10:33,X0640KC,IN,
GRANTED,2024-09-24,15:10:33,X0640KC,OUT,
GRANTED,2024-09-24,15:10:34,X0640KC,IN,
GRANTED,2024-09-24,15:10:34,X0640KC,OUT,
GRANTED,2024-09-24,15:10:35,X0640KC,IN,
GRANTED,2024-09-24,15:10:36,X0640KC,OUT,
GRANTED,2024-09-24,15:10:37,X0640KC,IN,
GRANTED,2024-09-24,15:10:38,X0640KC,OUT,
GRANTED,2024-09-24,15:10:38,X0640KC,IN,
GRANTED,2024-09-24,15:10:39,X0640KC,OUT,
GRANTED,2024-09-24,15:10:40,X0640KC,IN,
GRANTED,2024-09-24,15:10:41,X0640KC,OUT,
GRANTED,2024-09-24,15:10:41,X0640KC,IN,
GRANTED,2024-09-24,15:10:41,X0640KC,OUT,
GRANTED,2024-09-24,15:10:42,X0640KC,IN,
GRANTED,2024-09-24,15:10:43,X0640KC,OUT,
GRANTED,2024-09-24,15:10:45,X0640KC,IN,
GRANTED,2024-09-24,15:10:46,X0640KC,OUT,
GRANTED,2024-09-24,15:10:46,X0640KC,IN,
GRANTED,2024-09-24,15:10:50,X0640KC,OUT,
GRANTED,2024-09-24,15:10:50,X0640KC,IN,
GRANTED,2024-09-24,15:10:50,X0640KC,OUT,
GRANTED,2024-09-24,15:10:51,X0640KC,IN,
GRANTED,2024-09-24,15:10:52,X0640KC,OUT,
GRANTED,2024-09-24,15:10:53,X0640KC,IN,
GRANTED,2024-09-24,15:10:53,X0640KC,OUT,
GRANTED,2024-09-24,15:10:54,X0640KC,IN,
GRANTED,2024-09-24,15:10:54,X0640KC,OUT,
GRANTED,2024-09-24,15:10:55,X0640KC,IN,
GRANTED,2024-09-24,15:10:56,X0640KC,OUT,
GRANTED,2024-09-24,15:10:57,X0640KC,IN,
GRANTED,2024-09-24,15:10:57,X0640KC,OUT,
GRANTED,2024-09-24,15:10:59,X0640KC,IN,
GRANTED,2024-09-24,15:11:01,X0640KC,OUT,
GRANTED,2024-09-24,15:11:01,X0640KC,IN,
GRANTED,2024-09-24,15:11:01,X0640KC,OUT,
GRANTED,2024-09-24,15:11:02,X0640KC,IN,
GRANTED,2024-09-24,15:11:03,X0640KC,OUT,
GRANTED,2024-09-24,15:11:03,X0640KC,IN,
GRANTED,2024-09-24,15:11:04,X0640KC,OUT,
GRANTED,2024-09-24,15:11:05,X0640KC,IN,
GRANTED,2024-09-24,15:11:06,X0640KC,OUT,
GRANTED,2024-09-24,15:11:07,X0640KC,IN,
GRANTED,2024-09-24,15:11:08,X0640KC,OUT,
GRANTED,2024-09-24,15:11:09,X0640KC,IN,
GRANTED,2024-09-24,15:11:09,X0640KC,OUT,
GRANTED,2024-09-24,15:11:10,X0640KC,IN,
GRANTED,2024-09-24,15:11:11,X0640KC,OUT,
GRANTED,2024-09-24,15:11:11,X0640KC,IN,
GRANTED,2024-09-24,15:11:12,X0640KC,OUT,
GRANTED,2024-09-24,15:11:13,X0640KC,IN,
GRANTED,2024-09-24,15:11:14,X0640KC,OUT,
GRANTED,2024-09-24,15:11:15,X0640KC,IN,
GRANTED,2024-09-24,15:11:16,X0640KC,OUT,
GRANTED,2024-09-24,15:11:16,X0640KC,IN,
GRANTED,2024-09-24,15:11:18,X0640KC,OUT,
GRANTED,2024-09-24,15:11:18,X0640KC,IN,
GRANTED,2024-09-24,15:11:19,X0640KC,OUT,
GRANTED,2024-09-24,15:11:20,X0640KC,IN,
GRANTED,2024-09-24,15:11:20,X0640KC,OUT,
GRANTED,2024-09-24,15:11:21,X0640KC,IN,
GRANTED,2024-09-24,15:11:21,X0640KC,OUT,
GRANTED,2024-09-24,15:11:21,X0640KC,IN,
GRANTED,2024-09-24,15:11:23,X0640KC,OUT,
GRANTED,2024-09-24,15:11:23,X0640KC,IN,
GRANTED,2024-09-24,15:11:24,X0640KC,OUT,
GRANTED,2024-09-24,15:11:24,X0640KC,IN,
GRANTED,2024-09-24,15:11:25,X0640KC,OUT,
GRANTED,2024-09-24,15:11:25,X0640KC,IN,
GRANTED,2024-09-24,15:11:26,X0640KC,OUT,
GRANTED,2024-09-24,15:11:27,X0640KC,IN,
GRANTED,2024-09-24,15:11:28,X0640KC,OUT,
GRANTED,2024-09-24,15:11:28,X0640KC,IN,
GRANTED,2024-09-24,15:11:29,X0640KC,OUT,
GRANTED,2024-09-24,15:11:30,X0640KC,IN,
GRANTED,2024-09-24,15:11:32,X0640KC,OUT,
GRANTED,2024-09-24,15:11:32,X0640KC,IN,
GRANTED,2024-09-24,15:11:34,X0640KC,OUT,
GRANTED,2024-09-24,15:11:34,X0640KC,IN,
GRANTED,2024-09-24,15:11:35,X0640KC,OUT,
GRANTED,2024-09-24,15:11:37,X0640KC,IN,
GRANTED,2024-09-24,15:11:37,X0640KC,OUT,
